%dir	flowInd	flowStat	timeFirst	timeLast	duration	srcIP	srcPort	dstIP	dstPort	l4Proto	pktsSnt	l7BytesSnt	minL7PktSz	maxL7PktSz	avgL7PktSz	stdL7PktSz	varL7PktSz	skewL7PktSz	kurL7PktSz	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpFlags	tcpAnomaly	tcpCntF_S_R_P_A_U_E_C_FA_SA_RA_N_SF_SFR_RF_X	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS
A	18	0x0400100000004000	1789845070.459609000	1789845070.599346000	0.139737000	192.168.64.3	54845	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	57.25041	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	18	0x0400100000004001	1789845070.599136000	1789845070.599191000	0.000055000	1.1.1.1	443	192.168.64.3	54845	6	4	0	0	0	0	0	0	0	0	72727.27	0	-0.3333333	0	0x1001	0	0	50	50	0	0x48	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	19	0x0400100000004000	1789845070.576855000	1789845129.245429000	58.668574000	192.168.64.3	54846	1.1.1.1	443	6	968	37704	0	739	38.95041	56.11659	3149.072	5.570582	73.383	16.49946	642.6609	0.006237006	-0.3594944	0x1201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x011b	0x1000	4_4_0_624_964_0_0_0_4_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	19	0x0400100000004001	1789845070.651221000	1789845129.245220000	58.593999000	1.1.1.1	443	192.168.64.3	54846	6	956	80028	0	560	83.7113	60.57614	3669.469	1.494448	13.02945	16.31566	1365.805	-0.006237006	0.3594944	0x1201	0	9431	50	50	0	0x48	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x031b	0x0000	4_4_0_884_956_0_0_0_4_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	20	0x0400100000004000	1789845129.512278000	1789845219.799429000	90.287151000	192.168.64.3	54847	1.1.1.1	443	6	1448	54264	0	468	37.47514	38.37914	1472.958	2.790447	36.6609	16.03772	601.0157	0.001383126	-0.4197977	0x1201	0	1	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_944_1444_0_0_0_0_0_0_0_0_0_0_0	4	24	0x0000001e	1460	256
B	20	0x0400100000004001	1789845129.576318000	1789845219.799282000	90.222964000	1.1.1.1	443	192.168.64.3	54847	6	1444	132788	0	1452	91.95845	119.0441	14171.49	3.157637	46.42349	16.0048	1471.776	-0.001383126	0.4197977	0x1201	1	6770	49	49	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_1380_1444_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
A	21	0x0400100000004000	1789845300.665278000	1789845300.758221000	0.092943000	192.168.64.3	54847	1.1.1.1	443	6	8	0	0	0	0	0	0	0	0	86.07426	0	0.3333333	0	0x1001	0	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_8_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
B	21	0x0400100000004001	1789845300.757650000	1789845300.757704000	0.000054000	1.1.1.1	443	192.168.64.3	54847	6	4	0	0	0	0	0	0	0	0	74074.07	0	-0.3333333	0	0x1001	0	0	49	49	0	0x40	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x0111	0x0000	4_0_0_0_4_0_0_0_4_0_0_0_0_0_0_0	0	0	0x00000000	0	1
A	22	0x0400120000004000	1789845300.669084000	1789845450.417006000	149.747922000	192.168.64.3	54848	1.1.1.1	443	6	2604	83116	0	739	31.91859	38.98642	1519.941	6.218206	116.2422	17.38922	555.0394	0.02681388	-0.3479768	0x5201	0	2	128	128	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x001a	0x1000	0_4_0_1608_2600_0_0_0_0_0_0_0_0_0_0_0	8	36	0x0000003e	1460	256
B	22	0x0400100000004001	1789845300.757649000	1789845450.416834000	149.659185000	1.1.1.1	443	192.168.64.3	54848	6	2468	171832	0	560	69.62399	42.45792	1802.675	1.895254	22.66851	16.4908	1148.155	-0.02681388	0.3479768	0x1201	1	17315	49	49	0	0x40	0x4004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0x021a	0x0000	0_4_0_2304_2468_0_0_0_0_4_0_0_0_0_0_0	4	24	0x0000001e	1452	8192
